Category,Subcategory,Date,Approval Authority Level,Notes,Amount
R&D,,2021-09-22,1,Employee left eat international family onto.,6.25
Marketing,,2021-09-22,2,Include service might despite rock use wonder.,5.0
Admin Expenses,,2021-09-22,2,List parent stock religious.,8.29
Employee Compensation,Bonuses,2021-09-22,2,Amount available board home fast.,1.84
Cost of Goods Sold,,2021-09-23,2,Financial even consider similar economic almost.,5.1
R&D,,2021-09-23,3,Still rest social ago example most cover.,4.86
Marketing,,2021-09-23,1,Choose option up assume result century Congress training.,5.39
Admin Expenses,,2021-09-23,2,Image establish strong exactly many this couple property.,9.27
Employee Compensation,Bonuses,2021-09-23,2,Window down American must also community.,1.5
Cost of Goods Sold,,2021-09-24,1,Blue large smile choice plant road civil.,5.67
R&D,,2021-09-24,2,Environment enjoy line series accept grow protect former.,6.68
Marketing,,2021-09-24,2,Clear beat church professor truth after college.,6.78
Admin Expenses,,2021-09-24,2,Police model another good person simply sound.,2.48
Employee Compensation,Benefits,2021-09-24,1,Mother employee notice affect.,1.53
Cost of Goods Sold,,2021-09-25,1,Set theory option key.,1.88
R&D,,2021-09-25,3,According audience arrive bad training watch.,11.65
Marketing,,2021-09-25,2,People start month interesting street.,10.84
Admin Expenses,,2021-09-25,2,Step almost gas stop yeah food pass.,1.16
Employee Compensation,Base Salary,2021-09-25,3,Create recent serve cover successful position box.,1.95
Cost of Goods Sold,,2021-09-26,1,Order movement anyone debate.,5.63
R&D,,2021-09-26,1,Much old bad lay pay.,5.22
Marketing,,2021-09-26,2,Culture identify herself size notice itself drive crime.,2.33
Admin Expenses,,2021-09-26,1,Include contain she however yes Republican serious theory.,9.98
Employee Compensation,Benefits,2021-09-26,2,Would fly manage husband computer special late.,1.07
Cost of Goods Sold,,2021-09-27,2,Exactly trip condition how.,3.3
R&D,,2021-09-27,2,Business east yard.,1.45
Marketing,,2021-09-27,2,Break force return child.,6.05
Admin Expenses,,2021-09-27,2,Approach body subject.,9.45
Employee Compensation,Base Salary,2021-09-27,1,City author cell bank.,1.71
Cost of Goods Sold,,2021-09-28,1,Value discussion resource position soldier.,7.07
R&D,,2021-09-28,3,Range TV condition maintain so tell.,8.88
Marketing,,2021-09-28,3,Human president put consumer collection.,11.94
Admin Expenses,,2021-09-28,2,Million experience situation manage partner son.,3.5
Employee Compensation,Base Salary,2021-09-28,3,Story edge people research identify phone hour.,1.07
Cost of Goods Sold,,2021-10-01,3,Day best writer discuss opportunity success trip.,3.55
R&D,,2021-10-01,2,Occur week win single certain three.,5.03
Marketing,,2021-10-01,3,Threat human letter turn age.,5.09
Admin Expenses,,2021-10-01,1,These new arrive anyone response.,4.23
Employee Compensation,Benefits,2021-10-01,3,Common already which relationship.,1.46
Cost of Goods Sold,,2021-10-02,2,Many society crime.,9.88
R&D,,2021-10-02,1,West become range trouble number trouble.,2.41
Marketing,,2021-10-02,3,Floor house future point.,3.2
Admin Expenses,,2021-10-02,2,Tough quickly heart allow situation.,2.9
Employee Compensation,Base Salary,2021-10-02,1,Beyond listen involve yeah discover safe turn.,1.28
Cost of Goods Sold,,2021-10-03,2,Its born material board skill newspaper.,4.59
R&D,,2021-10-03,1,Important too sense recently experience PM.,9.75
Marketing,,2021-10-03,3,Girl authority board until fund.,6.62
Admin Expenses,,2021-10-03,3,Eye dream summer partner.,1.3
Employee Compensation,Benefits,2021-10-03,1,Strategy I personal marriage police trip free.,1.41
Cost of Goods Sold,,2021-10-04,1,Recent hope simple forward part.,3.99
R&D,,2021-10-04,2,Enough long culture how radio which daughter drive.,9.09
Marketing,,2021-10-04,3,Plan assume art phone way approach.,2.23
Admin Expenses,,2021-10-04,1,Board more way mean significant according.,2.41
Employee Compensation,Taxes,2021-10-04,3,Item final majority area talk line little.,1.9
Cost of Goods Sold,,2021-10-05,1,Spring hot environment never from security.,4.29
R&D,,2021-10-05,2,Civil involve middle doctor during experience environment matter.,5.59
Marketing,,2021-10-05,3,Speak world manager none matter.,1.23
Admin Expenses,,2021-10-05,3,Quickly establish wait they bank.,2.84
Employee Compensation,Base Salary,2021-10-05,1,Eye explain discover wonder firm break.,1.65
Cost of Goods Sold,,2021-10-06,2,Every book energy paper shoulder that else.,2.17
R&D,,2021-10-06,1,Reduce senior finally produce.,9.33
Marketing,,2021-10-06,1,Wind sometimes make garden.,2.26
Admin Expenses,,2021-10-06,2,Write similar story thing later maintain dinner.,7.57
Employee Compensation,Benefits,2021-10-06,1,Save news yet ten.,1.65
Cost of Goods Sold,,2021-10-07,3,Address without pass right often purpose success nothing.,6.74
R&D,,2021-10-07,2,South seek or cell possible condition happy.,5.35
Marketing,,2021-10-07,2,Write push nor truth account better hit.,4.98
Admin Expenses,,2021-10-07,1,Down toward cell.,7.07
Employee Compensation,Benefits,2021-10-07,1,Peace real line firm.,1.39
Cost of Goods Sold,,2021-10-08,1,Ground off fact.,1.87
R&D,,2021-10-08,1,Author much everyone main.,11.77
Marketing,,2021-10-08,1,One head church less.,9.98
Admin Expenses,,2021-10-08,3,Performance of quality interesting model open Mrs become.,8.01
Employee Compensation,Taxes,2021-10-08,1,Easy coach decide turn activity matter build.,1.84
Cost of Goods Sold,,2021-10-09,1,Attention discover describe break oil page same media.,9.9
R&D,,2021-10-09,2,Those teacher interview body adult.,11.15
Marketing,,2021-10-09,3,Detail story dream beautiful down speak.,1.95
Admin Expenses,,2021-10-09,2,Dinner country last summer cause.,2.47
Employee Compensation,Bonuses,2021-10-09,2,List individual study today professor.,11.28
Cost of Goods Sold,,2021-10-10,2,May have professor individual at policy seat.,3.94
R&D,,2021-10-10,2,Mission picture nation protect.,10.57
Marketing,,2021-10-10,2,Television building together ever.,8.88
Admin Expenses,,2021-10-10,3,Contain foot authority half discussion mother.,9.24
Employee Compensation,Bonuses,2021-10-10,1,Man seem at.,10.44
Cost of Goods Sold,,2021-10-11,2,Point shoulder scene fact sense mention himself.,4.48
R&D,,2021-10-11,1,Choose subject important often nature unit staff.,10.4
Marketing,,2021-10-11,2,Close success follow shoulder.,2.46
Admin Expenses,,2021-10-11,3,Maintain up base realize.,3.4
Employee Compensation,Bonuses,2021-10-11,2,Guy near level service exist mission run trip.,10.75
Cost of Goods Sold,,2021-10-12,2,Talk store figure that military.,8.96
R&D,,2021-10-12,1,Bit home effect fire man.,1.87
Marketing,,2021-10-12,2,East sea work item family raise.,10.42
Admin Expenses,,2021-10-12,2,Soon still team seven candidate.,6.95
Employee Compensation,Taxes,2021-10-12,2,Particularly soldier science author everybody human.,1.75
Cost of Goods Sold,,2021-10-13,1,Little list difficult they.,2.01
R&D,,2021-10-13,2,Sense name top plan word training military scientist.,4.52
Marketing,,2021-10-13,2,Current agent modern chance such ten four.,3.82
Admin Expenses,,2021-10-13,1,Learn friend history accept born foreign.,2.66
Employee Compensation,Taxes,2021-10-13,1,Keep trial truth affect mother.,1.79
Cost of Goods Sold,,2021-10-14,1,Call fish relate agree yet truth.,11.1
R&D,,2021-10-14,2,Center woman option across.,10.5
Marketing,,2021-10-14,2,View today west employee.,2.91
Admin Expenses,,2021-10-14,3,Matter near whatever nearly.,10.2
Employee Compensation,Benefits,2021-10-14,2,Able her support tough manager commercial country low.,1.05
Cost of Goods Sold,,2021-10-15,3,Far new very.,4.1
R&D,,2021-10-15,1,Hour during magazine approach manager though.,6.6
Marketing,,2021-10-15,3,If factor out class push back.,6.59
Admin Expenses,,2021-10-15,3,Yourself ten street again type former truth drive.,4.81
Employee Compensation,Benefits,2021-10-15,2,Within little couple her same fire about.,1.81
Cost of Goods Sold,,2021-10-16,1,Gas fund research trade.,10.23
R&D,,2021-10-16,3,Newspaper where study nearly health deep despite.,10.41
Marketing,,2021-10-16,1,Because pass kitchen over discuss watch world.,11.6
Admin Expenses,,2021-10-16,2,News mother drop outside bill billion.,7.36
Employee Compensation,Base Salary,2021-10-16,3,Make make mission question instead.,1.55
Cost of Goods Sold,,2021-10-17,3,Attack throughout wrong.,2.6
R&D,,2021-10-17,1,Appear purpose product tree wait these also.,8.91
Marketing,,2021-10-17,3,Good yet away practice artist.,3.3
Admin Expenses,,2021-10-17,1,Full position face tell response.,11.55
Employee Compensation,Taxes,2021-10-17,1,Agree window seven by first require.,1.69
Cost of Goods Sold,,2021-10-18,3,Important exist begin future sometimes feeling college.,5.76
R&D,,2021-10-18,2,Pick moment various candidate truth ten sing.,4.01
Marketing,,2021-10-18,2,Either hundred scene resource several.,3.81
Admin Expenses,,2021-10-18,1,Five base performance remember style step light.,9.25
Employee Compensation,Taxes,2021-10-18,1,Theory agree design something husband should bag edge.,1.2
Cost of Goods Sold,,2021-10-19,3,Material court heavy during.,2.91
R&D,,2021-10-19,2,I son space race.,8.29
Marketing,,2021-10-19,3,Chance exist doctor camera support.,1.1
Admin Expenses,,2021-10-19,2,Strategy thought change others body without.,11.19
Employee Compensation,Taxes,2021-10-19,3,Natural pattern news certainly interest.,1.9
Cost of Goods Sold,,2021-10-20,1,Old else seat across not quite run.,7.88
R&D,,2021-10-20,3,Line price word amount.,10.83
Marketing,,2021-10-20,3,Skill section turn ahead.,2.72
Admin Expenses,,2021-10-20,3,Street statement baby carry all.,1.49
Employee Compensation,Benefits,2021-10-20,3,Source performance blood hour mind.,1.57
Cost of Goods Sold,,2021-10-21,1,Sell establish century down.,10.44
R&D,,2021-10-21,1,Style drug exist economy house.,8.05
Marketing,,2021-10-21,1,Break bag operation.,4.28
Admin Expenses,,2021-10-21,1,Science full exactly majority add poor.,11.6
Employee Compensation,Benefits,2021-10-21,2,Explain nor place national power leg.,1.17
Cost of Goods Sold,,2021-10-22,2,Organization government claim north feeling.,3.34
R&D,,2021-10-22,2,Truth marriage traditional where across nature.,8.08
Marketing,,2021-10-22,2,Husband exist candidate red.,7.78
Admin Expenses,,2021-10-22,2,Billion career our.,3.73
Employee Compensation,Benefits,2021-10-22,3,Cost interesting him hope number somebody.,1.88
Cost of Goods Sold,,2021-10-23,3,Big consumer work strategy reach project prepare per.,6.44
R&D,,2021-10-23,1,Majority suddenly responsibility stay impact they.,7.05
Marketing,,2021-10-23,1,Lay budget during candidate by.,6.35
Admin Expenses,,2021-10-23,3,Project sense upon five front several.,4.24
Employee Compensation,Base Salary,2021-10-23,2,Trip strategy piece help.,1.02
Cost of Goods Sold,,2021-10-24,2,Down name education.,10.66
R&D,,2021-10-24,2,Under event along physical risk region.,7.19
Marketing,,2021-10-24,2,Which matter yard her responsibility usually.,6.65
Admin Expenses,,2021-10-24,3,Check account help ago study manage.,6.04
Employee Compensation,Taxes,2021-10-24,3,He simply parent at actually miss available.,1.23
Cost of Goods Sold,,2021-10-25,3,Quality over there food deep budget wind.,5.0
R&D,,2021-10-25,1,Particular about conference protect.,11.29
Marketing,,2021-10-25,1,Six security many no financial.,8.55
Admin Expenses,,2021-10-25,1,Sign early a mouth series.,9.83
Employee Compensation,Base Salary,2021-10-25,3,Begin reality side site avoid.,1.75
Cost of Goods Sold,,2021-10-26,2,Key bad last nor.,7.74
R&D,,2021-10-26,1,Admit be mean.,8.06
Marketing,,2021-10-26,3,Represent how woman enter glass treat single.,2.07
Admin Expenses,,2021-10-26,3,Wear war attention amount down.,8.29
Employee Compensation,Base Salary,2021-10-26,1,Term enjoy book stuff.,1.63
Cost of Goods Sold,,2021-10-27,1,Tell might idea share.,5.52
R&D,,2021-10-27,3,Hear ever low talk together.,7.34
Marketing,,2021-10-27,3,Myself indicate others around politics history best.,1.04
Admin Expenses,,2021-10-27,1,Our buy season south.,6.91
Employee Compensation,Benefits,2021-10-27,1,Activity side central.,1.87
Cost of Goods Sold,,2021-10-28,3,Some form question.,2.54
R&D,,2021-10-28,1,National among item wide moment perhaps give upon.,9.19
Marketing,,2021-10-28,1,Everything different project loss culture.,4.32
Admin Expenses,,2021-10-28,1,Worry form note other meeting.,7.44
Employee Compensation,Bonuses,2021-10-28,1,Eye step individual point box.,11.8
Cost of Goods Sold,,2021-11-01,3,Create administration their trade.,10.76
R&D,,2021-11-01,3,Air they school.,6.42
Marketing,,2021-11-01,1,Party conference total article new really.,10.2
Admin Expenses,,2021-11-01,3,Management late leader before home no.,1.47
Employee Compensation,Taxes,2021-11-01,1,Forward heavy half remember policy return.,1.47
Cost of Goods Sold,,2021-11-02,2,Also remain improve.,11.6
R&D,,2021-11-02,1,Crime conference experience current campaign most main teacher.,10.87
Marketing,,2021-11-02,2,Need instead itself sound tough.,1.97
Admin Expenses,,2021-11-02,3,Stand similar job like.,4.18
Employee Compensation,Bonuses,2021-11-02,1,Share order project service.,10.94
Cost of Goods Sold,,2021-11-03,2,Life hospital risk idea team day research.,8.98
R&D,,2021-11-03,1,Politics interesting deal still study.,8.25
Marketing,,2021-11-03,2,Newspaper respond this born worry city.,5.95
Admin Expenses,,2021-11-03,2,Miss eye reflect really fact.,7.04
Employee Compensation,Taxes,2021-11-03,1,Seem court key even early dog home.,1.93
Cost of Goods Sold,,2021-11-04,2,Personal bring Republican deal.,8.56
R&D,,2021-11-04,1,Side kid own son.,9.63
Marketing,,2021-11-04,2,Where front ball.,2.2
Admin Expenses,,2021-11-04,3,Human onto local team back meeting under.,9.48
Employee Compensation,Bonuses,2021-11-04,3,Now figure will.,10.42
Cost of Goods Sold,,2021-11-05,2,Month light surface miss miss.,6.76
R&D,,2021-11-05,1,Rate half cup through.,5.1
Marketing,,2021-11-05,3,Bill response teach science both itself.,9.54
Admin Expenses,,2021-11-05,2,Experience boy time bring garden.,2.86
Employee Compensation,Base Salary,2021-11-05,1,To sport chance and relationship human.,1.71
Cost of Goods Sold,,2021-11-06,2,Course trip in mission.,7.69
R&D,,2021-11-06,1,Detail executive authority eight yeah employee.,1.92
Marketing,,2021-11-06,1,Decide perhaps game interest.,5.87
Admin Expenses,,2021-11-06,2,Without thousand determine inside recent there relationship receive.,10.68
Employee Compensation,Bonuses,2021-11-06,2,Choice no hair military attack.,11.54
Cost of Goods Sold,,2021-11-07,1,Itself citizen near more throw wall letter fly.,4.18
R&D,,2021-11-07,2,Which machine beautiful describe state film everyone.,2.45
Marketing,,2021-11-07,2,Somebody whatever piece condition behind hair.,4.42
Admin Expenses,,2021-11-07,2,Close food American.,10.59
Employee Compensation,Bonuses,2021-11-07,1,Huge sign doctor will history.,11.1
Cost of Goods Sold,,2021-11-08,3,Girl event and whole call.,9.24
R&D,,2021-11-08,3,Join building long level hair develop.,4.1
Marketing,,2021-11-08,1,Type man minute our tonight expect feel.,8.32
Admin Expenses,,2021-11-08,3,Occur human word detail well size.,2.94
Employee Compensation,Bonuses,2021-11-08,2,Guy someone away wait wind large society shake.,10.52
Cost of Goods Sold,,2021-11-09,3,Than important head rock important.,7.53
R&D,,2021-11-09,1,Agent evening television sometimes gun political like.,5.67
Marketing,,2021-11-09,2,Never have father scientist.,4.87
Admin Expenses,,2021-11-09,2,Such why service meet final Mr material.,9.72
Employee Compensation,Benefits,2021-11-09,3,Together good score may particular believe.,1.29
Cost of Goods Sold,,2021-11-10,1,Road better area.,5.32
R&D,,2021-11-10,1,Single stock father whatever.,10.53
Marketing,,2021-11-10,3,Them close land foot cultural left entire.,4.14
Admin Expenses,,2021-11-10,1,Direction maybe approach later write smile herself.,9.59
Employee Compensation,Base Salary,2021-11-10,2,Call listen personal game drug.,1.26
Cost of Goods Sold,,2021-11-11,2,Between wide create figure research peace.,6.85
R&D,,2021-11-11,2,Open fact ever be property entire husband.,11.48
Marketing,,2021-11-11,2,State eat common necessary.,10.37
Admin Expenses,,2021-11-11,2,Room machine need capital.,10.81
Employee Compensation,Taxes,2021-11-11,1,Leg here no sure less.,1.35
Cost of Goods Sold,,2021-11-12,2,Summer particularly himself cell water at race adult.,5.47
R&D,,2021-11-12,3,Among their identify head value technology indicate.,1.05
Marketing,,2021-11-12,2,Onto move official likely hard mean seat fund.,8.95
Admin Expenses,,2021-11-12,1,Decision him across trip always around exactly traditional.,9.32
Employee Compensation,Bonuses,2021-11-12,2,Per middle central finish.,10.73
Cost of Goods Sold,,2021-11-13,2,Image brother word might.,8.25
R&D,,2021-11-13,2,Decade represent standard follow leader.,5.49
Marketing,,2021-11-13,1,Word relate economic lose.,10.81
Admin Expenses,,2021-11-13,2,Sound suffer travel college collection force ground realize.,5.38
Employee Compensation,Base Salary,2021-11-13,1,Expert those rock western above.,1.82
Cost of Goods Sold,,2021-11-14,1,Game none most within past.,3.74
R&D,,2021-11-14,3,Office book box reach what.,11.72
Marketing,,2021-11-14,2,Free mention serve.,2.13
Admin Expenses,,2021-11-14,1,Bad upon investment night rather head only.,10.51
Employee Compensation,Bonuses,2021-11-14,2,Happen artist sure.,10.84
Cost of Goods Sold,,2021-11-15,3,Eight officer TV that against.,2.48
R&D,,2021-11-15,3,Way market town exactly site himself nor.,3.19
Marketing,,2021-11-15,2,Any do general big if.,6.35
Admin Expenses,,2021-11-15,2,Worry area imagine system.,3.89
Employee Compensation,Bonuses,2021-11-15,3,Step blue still purpose treatment finish possible.,10.67
Cost of Goods Sold,,2021-11-16,3,Campaign piece hand approach budget list realize serve.,7.77
R&D,,2021-11-16,2,Become high what position west rate.,6.18
Marketing,,2021-11-16,3,Store article I myself four.,7.88
Admin Expenses,,2021-11-16,1,Subject into light break medical this American spring.,8.87
Employee Compensation,Base Salary,2021-11-16,3,Keep myself course play real.,1.05
Cost of Goods Sold,,2021-11-17,3,Computer open way half.,1.07
R&D,,2021-11-17,2,Job somebody let pretty though group.,10.52
Marketing,,2021-11-17,2,Pull type something turn know hope research bed.,1.78
Admin Expenses,,2021-11-17,2,Tell bring get blood paper because five hot.,3.43
Employee Compensation,Taxes,2021-11-17,1,Ball loss call want night cultural.,1.73
Cost of Goods Sold,,2021-11-18,1,Development research kitchen song all out notice.,10.44
R&D,,2021-11-18,1,Until mind financial design trade.,11.31
Marketing,,2021-11-18,2,Ever president increase into response growth concern still.,5.93
Admin Expenses,,2021-11-18,1,Some partner position until whether drop.,4.67
Employee Compensation,Base Salary,2021-11-18,2,Part effect south company work base none.,1.01
Cost of Goods Sold,,2021-11-19,2,Most somebody conference after.,5.78
R&D,,2021-11-19,1,Message by radio available war minute hold.,4.4
Marketing,,2021-11-19,3,Happy decide financial chair each law particular phone.,7.2
Admin Expenses,,2021-11-19,3,Recent process population paper white.,5.93
Employee Compensation,Taxes,2021-11-19,1,Treat feel action show computer.,1.88
Cost of Goods Sold,,2021-11-20,1,Recognize early under miss.,1.63
R&D,,2021-11-20,2,Exactly individual must realize enjoy.,3.45
Marketing,,2021-11-20,3,Its range though may size arrive pass.,9.89
Admin Expenses,,2021-11-20,3,Court six computer discover senior child.,11.81
Employee Compensation,Benefits,2021-11-20,1,Check guy friend away leg fund become.,1.58
Cost of Goods Sold,,2021-11-21,2,Election today important nation west church.,3.71
R&D,,2021-11-21,2,Rule full campaign language direction leave.,3.01
Marketing,,2021-11-21,2,Management join share admit.,10.58
Admin Expenses,,2021-11-21,1,Sport yard collection later.,2.94
Employee Compensation,Taxes,2021-11-21,2,Look under answer serve.,1.66
Cost of Goods Sold,,2021-11-22,3,Say upon energy reduce.,6.55
R&D,,2021-11-22,3,Wide today explain get.,5.23
Marketing,,2021-11-22,1,Answer consider eye for sit almost down.,2.15
Admin Expenses,,2021-11-22,1,Product well gas glass election firm.,1.2
Employee Compensation,Bonuses,2021-11-22,3,Another street modern mention.,10.1
Cost of Goods Sold,,2021-11-23,3,Have type economy sit.,1.84
R&D,,2021-11-23,3,According join leader example me simply third.,9.59
Marketing,,2021-11-23,3,Him teach wide experience truth piece sign experience.,4.6
Admin Expenses,,2021-11-23,1,Prepare scene already Mr someone eight interesting.,11.83
Employee Compensation,Bonuses,2021-11-23,3,Suggest than agree education product.,11.5
Cost of Goods Sold,,2021-11-24,1,Fly line poor what character customer.,7.84
R&D,,2021-11-24,3,Produce find meet cost national production.,5.04
Marketing,,2021-11-24,2,Management painting several.,5.36
Admin Expenses,,2021-11-24,1,Ever full man behind public.,10.93
Employee Compensation,Benefits,2021-11-24,3,Piece parent authority board apply.,1.11
Cost of Goods Sold,,2021-11-25,1,Say often think free eight exactly.,4.24
R&D,,2021-11-25,1,Energy American feeling dream.,3.16
Marketing,,2021-11-25,2,Increase easy ball how authority.,3.08
Admin Expenses,,2021-11-25,2,In develop more.,2.2
Employee Compensation,Bonuses,2021-11-25,1,Term suddenly board draw four nothing support.,10.98
Cost of Goods Sold,,2021-11-26,1,Everybody thank far realize hear as young.,1.66
R&D,,2021-11-26,3,Mother floor agency interview church beautiful top.,11.18
Marketing,,2021-11-26,2,Company to environmental.,9.84
Admin Expenses,,2021-11-26,3,Perform morning street tonight.,3.19
Employee Compensation,Base Salary,2021-11-26,1,Reveal employee seven ball prevent only national.,1.53
Cost of Goods Sold,,2021-11-27,1,Head Mrs vote recently spend.,11.89
R&D,,2021-11-27,3,About bill player.,3.4
Marketing,,2021-11-27,1,Around management knowledge song material community.,2.27
Admin Expenses,,2021-11-27,1,Group or I music.,7.55
Employee Compensation,Base Salary,2021-11-27,2,Teach prevent health project health.,1.42
Cost of Goods Sold,,2021-11-28,3,Go interview degree common.,4.02
R&D,,2021-11-28,3,Now because might police hospital seven customer.,9.21
Marketing,,2021-11-28,2,Consumer low meeting.,6.19
Admin Expenses,,2021-11-28,3,Book whatever song wrong cell threat.,10.83
Employee Compensation,Base Salary,2021-11-28,2,Your candidate professional head present.,1.92
Cost of Goods Sold,,2021-12-01,2,Performance nice thousand own.,10.19
R&D,,2021-12-01,1,Too five trouble form detail country find.,9.65
Marketing,,2021-12-01,3,Attorney generation politics play stay require.,8.53
Admin Expenses,,2021-12-01,1,Travel this skill join recently.,9.49
Employee Compensation,Base Salary,2021-12-01,1,Clearly majority when son practice seat production.,1.35
Cost of Goods Sold,,2021-12-02,3,More song modern on somebody option set.,2.39
R&D,,2021-12-02,1,Spring industry not manage ever politics he.,2.48
Marketing,,2021-12-02,2,Laugh few nothing usually exactly recently.,9.23
Admin Expenses,,2021-12-02,1,Season power pull those.,11.44
Employee Compensation,Taxes,2021-12-02,2,History foreign risk whole.,1.26
Cost of Goods Sold,,2021-12-03,3,Low service situation half send food hair suddenly.,5.82
R&D,,2021-12-03,3,Adult senior head half sing control special economic.,5.1
Marketing,,2021-12-03,3,Measure continue training race window.,7.58
Admin Expenses,,2021-12-03,3,Store store hotel join customer.,8.15
Employee Compensation,Taxes,2021-12-03,3,Current should security newspaper usually four.,1.16
Cost of Goods Sold,,2021-12-04,3,Recognize no finally American beyond decision not.,11.2
R&D,,2021-12-04,2,Doctor office success money could.,5.47
Marketing,,2021-12-04,3,Will that sound involve realize test maybe.,4.17
Admin Expenses,,2021-12-04,2,Traditional such anything.,10.83
Employee Compensation,Base Salary,2021-12-04,3,Benefit wonder concern one argue site day.,1.4
Cost of Goods Sold,,2021-12-05,3,Account scene involve system.,9.99
R&D,,2021-12-05,2,Feeling town almost station happy do.,1.8
Marketing,,2021-12-05,1,List finally participant.,8.78
Admin Expenses,,2021-12-05,1,Well really raise forget decision next.,2.02
Employee Compensation,Benefits,2021-12-05,2,Whose federal military table popular.,1.34
Cost of Goods Sold,,2021-12-06,1,War work never fact.,11.08
R&D,,2021-12-06,3,Campaign picture girl born down true.,4.21
Marketing,,2021-12-06,3,Hotel scene particularly small.,8.52
Admin Expenses,,2021-12-06,1,Over bit account before body plant summer.,1.43
Employee Compensation,Benefits,2021-12-06,2,Item process indicate cup.,1.85
Cost of Goods Sold,,2021-12-07,1,How remain sort.,9.99
R&D,,2021-12-07,1,Table summer when among fine green.,11.84
Marketing,,2021-12-07,2,This never begin can pick.,8.23
Admin Expenses,,2021-12-07,3,Election ground side police say.,8.51
Employee Compensation,Bonuses,2021-12-07,2,Fast change account according.,11.62
Cost of Goods Sold,,2021-12-08,3,Last strategy president service community hand.,8.6
R&D,,2021-12-08,2,Expert theory central character put happy respond.,4.28
Marketing,,2021-12-08,1,Color blood member yet health identify.,3.46
Admin Expenses,,2021-12-08,1,Friend ok actually.,5.48
Employee Compensation,Benefits,2021-12-08,3,Girl their interest PM.,1.06
Cost of Goods Sold,,2021-12-09,2,Sort region describe.,9.35
R&D,,2021-12-09,1,Hour paper bank cell claim give fire art.,10.68
Marketing,,2021-12-09,3,Address again floor need.,9.56
Admin Expenses,,2021-12-09,1,Take order real kitchen couple effect training.,11.46
Employee Compensation,Bonuses,2021-12-09,1,Dinner issue provide allow somebody development.,10.61
Cost of Goods Sold,,2021-12-10,2,Form blue stage street order crime.,2.08
R&D,,2021-12-10,2,Hope prepare fund.,8.21
Marketing,,2021-12-10,2,Republican hold improve pattern.,5.72
Admin Expenses,,2021-12-10,3,Knowledge protect rich central reduce so mouth military.,8.15
Employee Compensation,Base Salary,2021-12-10,3,Own attorney standard positive blood coach also.,1.67
Cost of Goods Sold,,2021-12-11,3,Study kitchen piece will.,8.34
R&D,,2021-12-11,3,Room without kid matter.,10.56
Marketing,,2021-12-11,3,More authority where case human church fine opportunity.,9.51
Admin Expenses,,2021-12-11,2,Main offer notice job future pull evening.,6.43
Employee Compensation,Benefits,2021-12-11,2,Feeling audience team.,1.93
Cost of Goods Sold,,2021-12-12,3,Answer debate him general project debate.,5.47
R&D,,2021-12-12,1,War page market action middle.,3.56
Marketing,,2021-12-12,2,Occur decision suddenly run.,8.1
Admin Expenses,,2021-12-12,3,Race your last nor.,11.24
Employee Compensation,Taxes,2021-12-12,3,Purpose also despite.,1.79
Cost of Goods Sold,,2021-12-13,3,Next public perhaps offer.,1.04
R&D,,2021-12-13,3,Budget information various region ask series.,7.41
Marketing,,2021-12-13,3,Sing best need.,4.83
Admin Expenses,,2021-12-13,1,Wait environment all life energy.,1.14
Employee Compensation,Taxes,2021-12-13,3,Reflect various live bed.,1.34
Cost of Goods Sold,,2021-12-14,1,Hand man church road impact common.,11.07
R&D,,2021-12-14,1,Next outside market born.,8.68
Marketing,,2021-12-14,2,Relate federal include four cover vote area.,7.4
Admin Expenses,,2021-12-14,2,Performance special difficult page city.,7.6
Employee Compensation,Bonuses,2021-12-14,2,Together husband move fire total article military particular.,10.65
Cost of Goods Sold,,2021-12-15,1,Successful part television deal.,8.19
R&D,,2021-12-15,3,Side century popular girl never.,8.92
Marketing,,2021-12-15,3,Choose whatever character artist program agree side she.,8.07
Admin Expenses,,2021-12-15,1,Put keep my.,4.92
Employee Compensation,Taxes,2021-12-15,2,Black than source ask affect enough.,1.99
Cost of Goods Sold,,2021-12-16,3,Sea lot together compare happen none.,7.97
R&D,,2021-12-16,2,Serious Congress life week keep.,5.43
Marketing,,2021-12-16,2,Year gun mention.,4.53
Admin Expenses,,2021-12-16,1,Later reach instead.,7.16
Employee Compensation,Benefits,2021-12-16,3,That process indicate apply federal floor about know.,1.53
Cost of Goods Sold,,2021-12-17,2,During rock food activity ok ball.,1.74
R&D,,2021-12-17,3,Decide figure strategy huge technology before.,8.78
Marketing,,2021-12-17,2,Drug charge treat college daughter.,10.56
Admin Expenses,,2021-12-17,3,Summer such myself together because race cost.,7.05
Employee Compensation,Benefits,2021-12-17,2,Their since friend piece treatment exist.,1.87
Cost of Goods Sold,,2021-12-18,1,Available score must education order follow.,1.18
R&D,,2021-12-18,3,Certainly expert list pressure.,1.1
Marketing,,2021-12-18,1,Life sign perform discuss miss follow our various.,4.71
Admin Expenses,,2021-12-18,1,Write thought professional similar wrong.,3.72
Employee Compensation,Benefits,2021-12-18,3,Laugh writer listen remain nation.,1.21
Cost of Goods Sold,,2021-12-19,2,Law money once lose.,3.76
R&D,,2021-12-19,3,Local ago measure reflect bill heavy.,3.84
Marketing,,2021-12-19,1,Fund west data resource case me management Republican.,11.83
Admin Expenses,,2021-12-19,2,Home avoid offer speak value build knowledge.,3.66
Employee Compensation,Taxes,2021-12-19,2,Chance story be loss ask control seat.,1.08
Cost of Goods Sold,,2021-12-20,2,Hotel performance arm business continue.,1.44
